"#","Land","Stadt","Wasserstress","[img=829513a5-ab8f-42d4-8ccc-86a03c1ee716]","[img=77fd26b3-0dd7-4064-ad93-f66b1d8b09f6]","[img=77fd26b3-0dd7-4064-ad93-f66b1d8b09f6]","[img=f5dc9655-6a11-4249-8877-cc10140fe323]","[img=3cb4affe-5521-4054-ad41-e981ae180373]","[img=6e72645a-f82c-449f-8ae9-c0dedc825b16]","[img=aafd8bfd-2288-4c63-8d0b-926dcce4532a]","[img=c357a233-f13e-4332-a195-bb7358f272ff]"
"1","Norwegen","Oslo","Niedrig (<10%)","97.8","5.51 €","212.2%","1.52 €","3.48 €","2.32 €","1.54 €","194.9%"
"2","Israel","Tel Aviv","Extrem hoch (>80%)","89.7","2.72 €","54.2%","1.08 €","2.62 €","2.74 €","1.08 €","123.9%"
"3","USA","New York","Hoch (40-80%)","85.9","1.65 €","-6.7%","0.87 €","0.96 €","3.23 €","0.45 €","76.4%"
"4","Schweden","Stockholm","Niedrig (<10%)","96.7","3.60 €","103.9%","1.21 €","1.28 €","0.94 €","1.28 €","71.5%"
"5","Finnland","Helsinki","Niedrig (<10%)","99.5","2.52 €","42.5%","0.49 €","1.75 €","1.79 €","1.80 €","67.6%"
"6","USA","Atlanta","Medium - Hoch (20-40%)","84.6","2.14 €","21.4%","1.02 €","1.32 €","0.99 €","1.42 €","60.8%"
"7","Libanon","Beirut","Extrem hoch (>80%)","27.4","0.22 €","-87.7%","0.03 €","4.64 €","2.91 €","not available","59.6%"
"8","Chile","Santiago","Extrem hoch (>80%)","75.7","0.97 €","-45.1%","0.73 €","1.81 €","2.05 €","0.66 €","57.7%"
"9","USA","New Orleans","Medium - Hoch (20-40%)","79.4","2.87 €","62.6%","1.22 €","0.93 €","0.85 €","1.38 €","56.8%"
"10","USA","Virginia Strand","Niedrig - Medium (10-20%)","88.8","1.92 €","8.9%","1.31 €","0.70 €","0.78 €","1.31 €","56.6%"
"11","USA","San Jose","Niedrig (<10%)","88.7","1.87 €","5.9%","1.03 €","1.34 €","1.00 €","1.28 €","50.6%"
"12","Kanada","Vancouver","Niedrig (<10%)","91.7","1.71 €","-2.9%","0.98 €","1.06 €","1.01 €","1.11 €","42.9%"
"13","USA","Washington","Niedrig (<10%)","85","2.81 €","59.0%","0.64 €","1.11 €","1.58 €","1.39 €","42.0%"
"14","Brasilien","Rio De Janeiro","Medium - Hoch (20-40%)","56.5","1.32 €","-25.0%","0.19 €","3.47 €","2.52 €","0.11 €","41.7%"
"15","USA","Los Angeles","Extrem hoch (>80%)","81","3.12 €","76.8%","1.27 €","1.17 €","0.78 €","0.87 €","41.4%"
"16","Irland","Dublin","Niedrig - Medium (10-20%)","89.9","1.85 €","4.7%","0.97 €","0.79 €","1.16 €","0.86 €","41.4%"
"17","USA","Phoenix","Extrem hoch (>80%)","81","0.79 €","-55.3%","0.99 €","0.86 €","0.92 €","1.31 €","40.8%"
"18","USA","San Diego","Extrem hoch (>80%)","84","4.43 €","151.1%","0.76 €","1.35 €","1.03 €","1.38 €","39.1%"
"19","Singapur","Singapur","Niedrig (<10%)","90.7","1.61 €","-8.5%","0.86 €","1.55 €","1.28 €","0.19 €","38.0%"
"20","Uruguay","Montevideo","Niedrig (<10%)","71","1.17 €","-33.4%","0.69 €","1.75 €","1.33 €","0.62 €","37.4%"
"21","USA","Las Vegas","Niedrig (<10%)","81.4","1.56 €","-11.9%","0.82 €","1.00 €","0.70 €","0.69 €","36.0%"
